FID,flag,ONS_ID,Name,POPEST,Name_FR,Shape__Area,Shape__Length
78,3,77,Orléans Industrial,74,Orléans Industriel,1068111.890625,4145.70898398472
79,1,51,Hunt Club South Industrial,733,Hunt Club Sud Industriel,9263513.65625,13184.2704863334
80,0,951,Stittsville,26674, ,60582781.5546875,42737.2731842966
81,0,952,Stonebridge - Half Moon Bay - Heart's Desire,9464, ,29316674.796875,31829.9581812397
82,0,944,Richmond,7669, ,340263076.5625,87558.9689019316
83,0,922,Fitzroy,3299, ,274749777.953125,187048.52300746
84,1,29,Constance Bay,2371,Baie Constance,12006840.3398438,19951.4210431461
85,0,916,Cumberland,4172, ,110907682.597656,80418.2561027769
86,1,67,Munster - Ashton,3705, ,274060249.308594,66217.6566059558
87,1,85,Marlborough,1812, ,491356930.328125,123148.639226828
88,1,30,Corkery,3473, ,281180903.253906,69068.9221068371
89,0,930,Kinburn,1987, ,275365416.511719,87146.8530609518
90,1,70,North Gower - Kars,5213, ,292342990.640625,115747.558756475
91,1,64,Manotick,9040, ,118017389.273438,125142.894027867
92,1,81,Osgoode - Vernon,5112, ,273255006.765625,85022.5567699524
93,1,66,Metcalfe,5240, ,281986149.523438,82437.2359065123
94,0,918,Edwards - Carlsbad Springs,3461, ,337462823.265625,100342.210318004
95,0,925,Greely,8829, ,140245882.578125,56560.3617333984
96,0,955,Vars,2573, ,156249543.78125,51771.4611974121
97,0,936,Navan - Sarsfield,4253, ,225753325.457031,84323.7316591272
98,1,35,Dunrobin,5569, ,257504346.71875,82360.5548675454
99,0,911,Carp,6230, ,362084767.558594,106149.319709401
100,0,901,Bayshore - Belltown,9313, ,3256035.65625,9586.2602404047
101,0,926,Greenbelt,2073,Ceinture de Verdure,336185835.171875,248571.941167556
102,1,86,Pineview,6169, ,3689535.734375,8298.64286186365
103,0,907,Brookside - Briarbrook - Morgan's Grant,14940, ,19117325.7578125,20399.0545004336
104,0,937,Old Barrhaven East,22286,Old Barrhaven Est,12445394.5078125,20220.3439901281
105,0,921,Findlay Creek,4419, ,19663736.5976563,22155.6950169579
106,0,941,Parkwood Hills - Stewart Farm,5234, ,1031159.17578125,9977.77193491382
107,0,920,Fallingbrook,19415, ,11601591.6835938,15376.743114559
108,0,909,Cardinal Creek,10535, ,19374265.9609375,19214.7601432221
109,0,947,Riverview,6297, ,3663346.2578125,8424.30392119644
110,0,935,Manor Park,7016, ,2506689.09375,9336.8453924506
111,0,914,Chapman Mills,8212, ,7334882.69140625,13761.919186199
